Location,Train,Time,Distance
LLA d,P1P2,10:00,8
CYF a,P1P2,10:15,5.7
CYF d,P1P2,10:15,5.7
CAS a,P1P2,10:24,3.75
CAS d,P1P2,10:28,3.75
WPL a,P1P2,10:49,0
WPL d,P1P2,11:15,0
CAS a,P1P2,11:36,3.75
CAS d,P1P2,11:40,3.75
CYF a,P1P2,11:53,5.7
CYF d,P1P2,11:53,5.7
LLA a,P1P2,12:07,8
LLA d,P5P6,13:00,8
CYF a,P5P6,13:15,5.7
CYF d,P5P6,13:15,5.7
CAS a,P5P6,13:24,3.75
CAS d,P5P6,13:28,3.75
WPL a,P5P6,13:49,0
WPL d,P5P6,14:05,0
CAS a,P5P6,14:26,3.75
CAS d,P5P6,14:30,3.75
CYF a,P5P6,14:43,5.7
CYF d,P5P6,14:43,5.7
LLA a,P5P6,14:57,8
WPL d,P3P4,10:04,0
CAS a,P3P4,10:25,3.75
CAS d,P3P4,10:27,3.75
CYF a,P3P4,10:36,5.7
CYF d,P3P4,10:36,5.7
LLA a,P3P4,10:51,8
LLA d,P3P4,11:11,8
CYF a,P3P4,11:26,5.7
CYF d,P3P4,11:26,5.7
CAS a,P3P4,11:35,3.75
CAS d,P3P4,11:41,3.75
WPL a,P3P4,12:02,0
WPL d,P7P8,13:04,0
CAS a,P7P8,13:25,3.75
CAS d,P7P8,13:27,3.75
CYF a,P7P8,13:36,5.7
CYF d,P7P8,13:36,5.7
LLA a,P7P8,13:51,8
LLA d,P7P8,14:01,8
CYF a,P7P8,14:16,5.7
CYF d,P7P8,14:16,5.7
CAS a,P7P8,14:25,3.75
CAS d,P7P8,14:31,3.75
WPL a,P7P8,14:52,0
